ReverseSorted Array For QuickSortMedianPivot
10000,5
20000,5
30000,8
40000,12
50000,10
60000,12
70000,16
80000,21
90000,31
Sorted Array For QuickSortMedianPivot
10000,1
20000,11
30000,1
40000,2
50000,3
60000,4
70000,4
80000,5
90000,6
RandomListArray QuickSortMedianPivot
10000,9
20000,19
30000,11
40000,8
50000,22
60000,13
70000,17
80000,19
90000,20
HalfSortedArray QuickSortMedianPivot
10000,1
20000,3
30000,5
40000,5
50000,6
60000,8
70000,10
80000,10
90000,14
DuplicateElementsArray QuickSortMedianPivot
10000,0
20000,2
30000,3
40000,4
50000,5
60000,7
70000,6
80000,11
90000,9
