ReverseSorted Array For QuickSortMedianPivot
1000,2
2000,1
3000,1
4000,1
5000,1
6000,2
7000,1
8000,1
9000,2
Sorted Array For QuickSortMedianPivot
1000,0
2000,0
3000,1
4000,1
5000,1
6000,2
7000,2
8000,1
9000,1
RandomListArray QuickSortMedianPivot
1000,0
2000,1
3000,1
4000,1
5000,2
6000,2
7000,6
8000,8
9000,9
HalfSortedArray QuickSortMedianPivot
1000,0
2000,1
3000,2
4000,2
5000,3
6000,5
7000,4
8000,5
9000,9
DuplicateElementsArray QuickSortMedianPivot
1000,0
2000,1
3000,2
4000,4
5000,3
6000,4
7000,2
8000,1
9000,2
