ReverseSorted Array For QuickSortFrontPivot
10000,6
20000,4
30000,8
40000,12
50000,4
60000,14
70000,14
80000,18
90000,38
Sorted Array For QuickSortFrontPivot
10000,9
20000,4
30000,3
40000,3
50000,3
60000,4
70000,6
80000,5
90000,6
RandomListArray QuickSortFrontPivot
10000,4
20000,9
30000,6
40000,10
50000,9
60000,16
70000,17
80000,20
90000,22
HalfSortedArray QuickSortFrontPivot
10000,1
20000,2
30000,3
40000,4
50000,7
60000,7
70000,9
80000,11
90000,21
DuplicateElementsArray QuickSortFrontPivot
10000,1
20000,2
30000,3
40000,5
50000,5
60000,6
70000,7
80000,10
90000,8
